"Daz Studio ver 4.16.0.3"
"0","Add Smoothing Modifier","DzMeshSmoothAction"
"1","Remove Smoothing Modifier","DzRemoveMeshSmoothAction"
"2","&Audio...","DzAudioAction"
"3","&Delete Selected Item(s)","DzDeleteAction"
"4","Delete All &Cameras","DzDeleteAllCamerasAction"
"5","Delete All &Lights","DzDeleteAllLightsAction"
"6","&Device Settings...","DzDevicesAction"
"7","E&xit","DzExitAction"
"8","&Export...","DzExportAction"
"9","&Import...","DzImportAction"
"10","&Merge...","DzMergeAction"
"11","&New","DzNewAction"
"12","&Open...","DzOpenAction"
"13","&Preferences...","DzPreferencesAction"
"14","&Redo ","DzRedoAction"
"15","&Save...","DzSaveAction"
"16","&Undo ","DzUndoAction"
"17","Clear Recent Files...","DzClearRecentFilesAction"
"18","Fit To...","DzFitToAction"
"19","Change Parent(s)...","DzChangeParentAction"
"20","Render","DzRenderAction"
"21","&Render Settings...","DzRenderSettingsAction"
"22","Show Hidden Properties","DzRenderSettingsShowHiddenAction"
"23","Restore Render Setting Defaults","DzRenderSettingsRestoreDefaultsAction"
"24","Save Last &Render...","DzSaveLastRenderAction"
"25","Show Hidden Properties","DzDrawSettingsShowHiddenAction"
"26","Restore Draw Setting Defaults","DzDrawSettingsRestoreDefaultsAction"
"27","Save Last &Draw...","DzSaveLastDrawAction"
"28","&Home...","DzWelcomeHomeAction"
"29","&QuickStart Guide...","DzQuickStartGuideAction"
"30","&User Guide...","DzUserGuideAction"
"31","&Reference Guide...","DzReferenceGuideAction"
"32","&Video Tutorials...","DzVideoTutorialsAction"
"33","Help &Browser...","DzLaunchHelpBrowserAction"
"34","What's This? (Interactive Help)","DzWhatsThisAction"
"35","Frequently Asked &Questions (FAQ)...","DzFrequentQuestionsAction"
"36","&Tutorials...","DzDAZTutorialsAction"
"37","DAZ 3D &Web Site...","DzDAZWebSiteAction"
"38","DAZ 3D &Galleries...","DzDAZGalleriesAction"
"39","DAZ 3D &Forums...","DzDAZForumsAction"
"40","New User Help Forum...","DzDAZNewUserHelpForumAction"
"41","Submit &Feedback...","DzReportABugAction"
"42","Register DAZ Studio...","DzRegisterDAZStudioAction"
"43","&About DAZ Studio...","DzAboutDAZStudioAction"
"44","About Installed &Plugins...","DzAboutPluginsAction"
"45","About Your &Video Card...","DzAboutHardwareAction"
"46","&View Log File...","DzLogFileAction"
"47","&Login...","DzDAZLoginAction"
"48","&Work Offline","DzWorkOfflineAction"
"49","Update &Metadata...","DzUpdateMetadataAction"
"50","My &Account...","DzDAZMyAccountAction"
"51","My &Gallery...","DzDAZMyGalleryAction"
"52","My &Cart...","DzDAZMyCartAction"
"53","My &Wishlist...","DzDAZMyWishlistAction"
"54","Select Layout...","DzSelectLayoutAction"
"55","Save Layout As...","DzSaveLayoutAction"
"56","Delete Layout(s)...","DzDeleteLayoutAction"
"57","&Customize Style...","DzCustomColorsAction"
"58","Delete Style(s)...","DzDeleteStyleAction"
"59","Save Style As...","DzSaveStyleAction"
"60","Select Style...","DzSelectStyleAction"
"61","Show Activity 0","DzActivityAction0"
"62","Show Activity 1","DzActivityAction1"
"63","Show Activity 2","DzActivityAction2"
"64","Show Activity 3","DzActivityAction3"
"65","Show Activity 4","DzActivityAction4"
"66","Show Activity 5","DzActivityAction5"
"67","Show Activity 6","DzActivityAction6"
"68","Show Activity 7","DzActivityAction7"
"69","Show Activity 8","DzActivityAction8"
"70","Show Activity 9","DzActivityAction9"
"71","2 Bottom, 1 Top","Dz2Bottom1TopAction"
"72","2 Left, 1 Right","Dz2Left1RightAction"
"73","2 Right, 1 Left","Dz2Right1LeftAction"
"74","2 Top, 1 Bottom","Dz2Top1BottomAction"
"75","3 Bottom, 1 Top","Dz3Bottom1TopAction"
